Loại báo cáo,Chỉ tiêu ,2021,2022,2023,2024,Quý 3/2025
Kết quả kinh doanh  ,Doanh thu thuần,"3,738,367,541","2,911,963,203","2,087,770,677","3,278,584,206","2,857,456,189"
Kết quả kinh doanh  ,Giá vốn hàng bán,"1,944,624,143","1,452,443,758","501,132,984","1,539,036,889","1,371,296,899"
Kết quả kinh doanh  ,Lợi nhuận gộp,"1,793,743,398","1,459,519,445","1,586,637,693","1,739,547,317","1,486,159,290"
Kết quả kinh doanh  ,Doanh thu tài chính,"20,873,540","20,873,540","49,704,916","38,189,200","28,753,020"
Kết quả kinh doanh  ,Chi phí tài chính,"72,701,117","91,011,692","147,648,608","216,021,728","104,443,040"
Kết quả kinh doanh  ,Chi phí lãi vay,"15,928,769","9,345,992","9,345,992",0,0
Kết quả kinh doanh  ,Chi phí bán hàng,"204,822,813","175,245,966","162,401,036","222,684,170","188,884,531"
Kết quả kinh doanh  ,Chí phí quản lý doanh nghiệp,"181,777,919","219,168,679","204,561,098","209,183,836","158,662,625"
Kết quả kinh doanh  ,Lợi nhuận sau thuế của cổ đông công ty mẹ,"1,202,474,135","1,102,953,667","715,673,834","810,413,554","556,744,851"
Cân đối kế toán (Tài sản)  ,Tiền & Tương đương tiền,"1,365,376,930","2,752,826,623","3,729,624,705","3,095,618,574","2,378,235,792"
Cân đối kế toán (Tài sản)  ,Đầu tư tài chính ngắn hạn,"69,400,000","42,897,715","8,524,398","276,869,548","304,523,489"
Cân đối kế toán (Tài sản)  ,Các khoản phải thu ngắn hạn,"4,205,634,873","5,207,980,581","1,830,746,868","3,018,308,105","4,715,720,751"
Cân đối kế toán (Tài sản)  ,Hàng tồn kho,"7,732,759,352","12,453,290,901","18,786,885,579","22,178,035,895","23,086,435,547"
Cân đối kế toán (Tài sản)  ,Tài sản dở dang dài hạn,"751,368,193","749,824,985","932,612,542","1,027,797,349","1,672,138,172"
Cân đối kế toán (Tài sản)  ,Tổng tài sản,"14,372,699,213","21,539,250,652","26,480,719,916","30,757,719,910","33,080,867,528"
Cân đối kế toán (Nguồn vốn)  ,Vay & nợ thuê tài chính ngắn hạn,"814,616,000","1,194,723,968","1,444,346,120","1,100,000,000","1,651,209,836"
Cân đối kế toán (Nguồn vốn)  ,Vay và nợ thuê tài chính dài hạn,"1,737,855,584","5,576,290,560","4,901,499,893","5,998,206,256","8,232,952,546"
Cân đối kế toán (Nguồn vốn)  ,Người mua trả tiền trước ngắn hạn,"179,262,377","892,021,429","2,387,640,249","1,901,227,417","379,291,782"
Cân đối kế toán (Nguồn vốn)  ,Vốn chủ sở hữu,"10,221,204,890","11,794,533,384","15,522,904,330","19,453,433,584","20,377,792,655"
Cân đối kế toán (Nguồn vốn)  ,Lợi nhuận sau thuế chưa phân phối,"2,341,800,132","2,780,172,037","3,766,498,965","3,617,810,462","3,106,703,024"
