Thời gian,Giá mở cửa (Nghìn VND),Giá cao nhất (Nghìn VND),Giá thấp nhất (Nghìn VND),Giá đóng cửa (Nghìn VND),Khối lượng
17/11/2022,15.36,16.23,15.21,16.19,6040704
18/11/2022,16.23,16.83,16.15,16.6,4561205
21/11/2022,16.91,16.98,16.49,16.83,2963653
22/11/2022,16.83,17.73,16.53,16.87,4371181
23/11/2022,16.75,16.87,16.15,16.42,2312660
24/11/2022,16.27,16.6,15.29,15.78,3818219
25/11/2022,16.15,16.87,16.12,16.87,4958364
28/11/2022,17.24,18.03,17.17,18.03,5669205
29/11/2022,18.56,19.27,18.41,19.27,8516953
30/11/2022,19.69,20.59,19.16,20.59,2716527
01/12/2022,21.94,22.01,19.69,20.44,6111788
02/12/2022,20.44,21.86,20.14,21.86,2560990
05/12/2022,22.92,23.37,22.31,23.37,3502050
06/12/2022,22.95,23.25,22.2,22.2,3309750
07/12/2022,22.2,23.22,21.94,22.46,3292992
08/12/2022,22.39,22.88,21.71,22.77,4646577
09/12/2022,22.69,22.69,21.94,22.58,2463333
12/12/2022,22.54,22.54,21,21,3709354
13/12/2022,20.59,21,19.53,20.96,2344149
14/12/2022,21.64,21.64,20.74,21.04,1398153
15/12/2022,21,21.38,20.85,21.19,1052372
16/12/2022,21.11,22.01,20.66,20.66,4008947
19/12/2022,20.66,20.66,20.06,20.06,2347292
20/12/2022,20.06,20.51,18.71,19.38,1975832
21/12/2022,19.42,19.53,18.6,18.86,1300053
22/12/2022,19.01,20.17,18.93,20.17,1515307
23/12/2022,20.29,20.29,19.61,19.72,1106879
26/12/2022,19.69,19.76,18.52,18.52,1390003
27/12/2022,18.86,19.8,18.82,19.8,1083819
28/12/2022,20.17,21,19.8,20.32,1123541
29/12/2022,20.36,21.15,20.06,21,1415756
30/12/2022,21.26,21.26,19.91,19.91,784297
03/01/2023,20.21,21.19,19.99,21.04,1783746
04/01/2023,21.19,21.19,20.7,20.92,1528488
05/01/2023,20.92,21.08,20.77,20.81,1108599
06/01/2023,20.96,21.45,20.81,20.89,3117028
09/01/2023,20.92,21.41,20.92,21,2627778
10/01/2023,21.04,21.11,20.66,20.96,1522990
11/01/2023,21.04,21.3,21,21.11,1262671
12/01/2023,21.19,21.26,20.14,20.14,1935629
13/01/2023,20.36,20.51,19.38,19.69,1532943
16/01/2023,19.69,19.95,19.69,19.8,1045014
17/01/2023,19.84,20.17,19.72,20.14,882394
18/01/2023,20.14,20.96,20.06,20.89,818225
19/01/2023,20.85,21.04,20.74,20.74,1444048
27/01/2023,20.77,21.11,20.62,20.77,1104685
30/01/2023,20.77,21.41,20.51,20.85,1299913
31/01/2023,20.85,21.15,20.85,21.04,2429275
01/02/2023,21.41,21.49,19.57,19.91,2836050
02/02/2023,19.95,20.59,19.91,19.99,1348043
03/02/2023,20.14,20.29,19.87,20.25,2075464
06/02/2023,20.21,20.59,20.06,20.55,1615656
07/02/2023,20.66,21.11,20.44,20.44,1773543
08/02/2023,20.44,20.47,20.06,20.29,1501583
09/02/2023,20.29,20.4,20.21,20.25,1182120
10/02/2023,20.32,20.92,20.32,20.66,3018668
13/02/2023,20.59,20.66,19.35,19.53,2904814
